feature,Fold_0_importance,Fold_1_importance,Fold_2_importance,Fold_3_importance,Fold_4_importance,Fold_5_importance,Fold_6_importance,Fold_7_importance,Fold_8_importance,Fold_9_importance,Fold_10_importance,Fold_11_importance,Fold_12_importance,Fold_13_importance,Fold_14_importance,mean_importance,std_importance,variance,cv
delta_2_squareroot_glcm_ClusterShade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
delta_2_squareroot_glszm_SizeZoneNonUniformityNormalized,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
delta_2_wavelet-HH_gldm_DependenceEntropy,0.0,0.0,0.0,0.0,0.007586434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008194537,0.0,0.0,0.0010520647333333332,0.002778769183262219,7.72155817384778e-06,2.6412530476694553
delta_2_wavelet-HL_gldm_LargeDependenceHighGrayLevelEmphasis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005823309,0.0,0.0,0.0,3.882206e-05,0.00015035719184546513,2.2607285139654005e-08,3.8729833462074175
delta_2_wavelet-LH_firstorder_Skewness,0.0,0.0,0.0,0.0,0.0,0.0,0.010236921,0.06988198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0053412600666666666,0.018048248418740805,0.00032573927098457996,3.3790244611706806
delta_2_wavelet-LL_gldm_DependenceNonUniformityNormalized,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
delta_2_wavelet-LL_glrlm_LongRunHighGrayLevelEmphasis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
delta_2_wavelet-LL_glrlm_LongRunLowGrayLevelEmphasis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
delta_2_wavelet-LL_glrlm_RunEntropy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
exponential_firstorder_Entropy,0.0,0.0,0.02608424,0.0,0.0,0.0,0.0,0.014260007,0.074635886,0.012044569,0.0,0.019531904,0.0020629396,0.017117742,0.012516074,0.01188355744,0.019487099449163468,0.0003797470449415871,1.6398371908036546
exponential_firstorder_Entropy_lag_1,0.0,0.0075009544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026668257,0.0,0.0,0.0,0.0,0.0,0.0006778520066666666,0.0020086247263973824,4.0345732914949595e-06,2.9632201522494315
exponential_firstorder_Range,0.0,0.038960986,0.0039687087,0.010034717,0.0020955196,0.0,0.0,0.0,0.0038566317,0.004458543,0.0,0.0,0.0024264231,0.0,0.00034099488,0.004409501598666667,0.009956678597062233,9.913544868519716e-05,2.258005439905704
exponential_glcm_Autocorrelation,0.0,0.0,0.00012675341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.450227333333333e-06,3.272758973366671e-05,1.0710951297752068e-09,3.8729833462074175
exponential_glcm_ClusterProminence,0.0,0.0,0.0044132164,0.0017920054,0.0,0.004184315,0.0,0.0034285984,0.0,0.0,0.0,0.0,0.0,0.0008123468,0.0,0.0009753654666666666,0.0016548927840659056,2.738670126753404e-06,1.6966899491751934
exponential_glcm_ClusterShade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
exponential_glcm_Imc1,0.0,0.018545559,0.0,0.035808776,0.020829719,0.0,0.046007756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008079454,0.015112987198677394,0.00022840238206738676,1.8705456084875778
exponential_gldm_DependenceEntropy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016028069,0.0,0.008445869,0.019432718,0.027627474,0.021083644,0.013044575,0.011159791,0.007788142666666667,0.009630806118870607,9.275242649927552e-05,1.2365985744060082
exponential_gldm_DependenceEntropy_lag_1,0.0,0.0,0.11222907,0.0,0.0,0.0,0.033355825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009705659666666666,0.029634653666440344,0.0008782126979298661,3.053337401497629
exponential_gldm_DependenceNonUniformityNormalized,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
exponential_glrlm_GrayLevelNonUniformityNormalized,0.0,0.0037545748,0.008655481,0.0,0.0012205495,0.0,0.0012626615,0.0008129081,0.0015190104,0.026033822,0.0,0.0013246814,0.0013457859,0.00796684,0.0,0.00359308764,0.006793950127937667,4.6157758340904245e-05,1.89083896877552
exponential_glrlm_GrayLevelNonUniformityNormalized_lag_1,0.0,0.11241976,0.052836154,0.002731204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029236698,0.01139405252,0.031051227760325567,0.0009641787454236131,2.7252136766809962
