feature,importance
wavelet-HL_gldm_LargeDependenceEmphasis,0.0
wavelet-HL_gldm_DependenceEntropy,0.0
wavelet-HL_firstorder_Skewness,0.0
wavelet-LH_ngtdm_Busyness,0.0
log-sigma-1-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,0.0
original_shape2D_MeshSurface,0.0
wavelet-LH_glszm_ZoneEntropy,0.0
wavelet-LH_glszm_SizeZoneNonUniformity,0.0
wavelet-LH_glszm_LargeAreaHighGrayLevelEmphasis,0.0
wavelet-LH_glrlm_RunVariance,0.0
wavelet-LH_glrlm_RunEntropy,0.0
wavelet-LH_glrlm_LongRunHighGrayLevelEmphasis,0.0
wavelet-LH_glrlm_LongRunEmphasis,0.0
wavelet-LH_glrlm_HighGrayLevelRunEmphasis,0.0
wavelet-LH_gldm_LargeDependenceLowGrayLevelEmphasis,0.0
log-sigma-1-0-mm-3D_glszm_HighGrayLevelZoneEmphasis,0.0
gradient_glszm_ZoneEntropy,0.0
log-sigma-1-0-mm-3D_glszm_SizeZoneNonUniformity,0.0
logarithm_ngtdm_Coarseness,0.0
logarithm_glszm_LargeAreaHighGrayLevelEmphasis,0.0
logarithm_glrlm_LongRunLowGrayLevelEmphasis,0.0
logarithm_glrlm_LongRunEmphasis,0.0
logarithm_gldm_LargeDependenceEmphasis,0.0
logarithm_glcm_MCC,0.0
logarithm_glcm_ClusterShade,0.0
logarithm_firstorder_Entropy,0.0
squareroot_ngtdm_Coarseness,0.0
squareroot_ngtdm_Busyness,0.0
squareroot_glszm_ZoneEntropy,0.0
squareroot_glszm_SmallAreaHighGrayLevelEmphasis,0.0
squareroot_glrlm_LongRunLowGrayLevelEmphasis,0.0
squareroot_gldm_GrayLevelNonUniformity,0.0
squareroot_glcm_Imc1,0.0
squareroot_glcm_DifferenceEntropy,0.0
squareroot_glcm_ClusterShade,0.0
squareroot_glcm_ClusterProminence,0.0
squareroot_firstorder_Skewness,0.0
squareroot_firstorder_Kurtosis,0.0
square_ngtdm_Busyness,0.0
square_glszm_ZoneEntropy,0.0
logarithm_glszm_LargeAreaLowGrayLevelEmphasis,0.0
exponential_firstorder_Entropy,0.0
square_glszm_SizeZoneNonUniformity,0.0
exponential_firstorder_Range,0.0
gradient_glrlm_RunEntropy,0.0
gradient_gldm_DependenceVariance,0.0
gradient_gldm_DependenceEntropy,0.0
gradient_glcm_ClusterProminence,0.0
gradient_firstorder_Maximum,0.0
gradient_firstorder_90Percentile,0.0
exponential_glszm_ZoneVariance,0.0
exponential_glszm_ZoneEntropy,0.0
exponential_glszm_SmallAreaHighGrayLevelEmphasis,0.0
exponential_glszm_SizeZoneNonUniformityNormalized,0.0
exponential_glszm_SizeZoneNonUniformity,0.0
exponential_glszm_LargeAreaLowGrayLevelEmphasis,0.0
exponential_glszm_LargeAreaEmphasis,0.0
exponential_glrlm_ShortRunHighGrayLevelEmphasis,0.0
exponential_glrlm_RunEntropy,0.0
exponential_glrlm_LongRunLowGrayLevelEmphasis,0.0
exponential_glrlm_LongRunEmphasis,0.0
exponential_gldm_LargeDependenceEmphasis,0.0
exponential_gldm_DependenceVariance,0.0
exponential_glcm_DifferenceEntropy,0.0
exponential_glcm_Autocorrelation,0.0
square_glszm_SmallAreaHighGrayLevelEmphasis,0.0
square_glszm_LargeAreaLowGrayLevelEmphasis,0.0
log-sigma-1-0-mm-3D_glszm_ZoneEntropy,0.0
log-sigma-3-0-mm-3D_firstorder_Maximum,0.0
log-sigma-3-0-mm-3D_firstorder_Entropy,0.0
log-sigma-3-0-mm-3D_firstorder_90Percentile,0.0
log-sigma-2-0-mm-3D_ngtdm_Strength,0.0
log-sigma-2-0-mm-3D_ngtdm_Coarseness,0.0
log-sigma-2-0-mm-3D_ngtdm_Busyness,0.0
log-sigma-2-0-mm-3D_glszm_ZoneEntropy,0.0
log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformity,0.0
log-sigma-2-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,0.0
log-sigma-2-0-mm-3D_glszm_LargeAreaEmphasis,0.0
log-sigma-2-0-mm-3D_glszm_HighGrayLevelZoneEmphasis,0.0
log-sigma-2-0-mm-3D_glrlm_RunEntropy,0.0
log-sigma-2-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,0.0
log-sigma-2-0-mm-3D_gldm_LargeDependenceEmphasis,0.0
log-sigma-2-0-mm-3D_gldm_DependenceEntropy,0.0
gradient_glszm_SizeZoneNonUniformity,0.0
log-sigma-2-0-mm-3D_glcm_Imc1,0.0
log-sigma-2-0-mm-3D_glcm_Autocorrelation,0.0
log-sigma-2-0-mm-3D_firstorder_Kurtosis,0.0
log-sigma-2-0-mm-3D_firstorder_Entropy,0.0
log-sigma-1-0-mm-3D_ngtdm_Busyness,0.0
log-sigma-1-0-mm-3D_glszm_ZoneVariance,0.0
log-sigma-3-0-mm-3D_firstorder_Kurtosis,0.0
log-sigma-3-0-mm-3D_firstorder_Range,0.0
square_glszm_LargeAreaHighGrayLevelEmphasis,0.0
log-sigma-3-0-mm-3D_glcm_Autocorrelation,0.0
square_glrlm_ShortRunHighGrayLevelEmphasis,0.0
square_glrlm_LongRunEmphasis,0.0
square_gldm_LargeDependenceEmphasis,0.0
square_glcm_Autocorrelation,0.0
square_firstorder_Skewness,0.0
square_firstorder_Maximum,0.0
square_firstorder_InterquartileRange,0.0
log-sigma-3-0-mm-3D_ngtdm_Strength,0.0
log-sigma-3-0-mm-3D_ngtdm_Coarseness,0.0
log-sigma-3-0-mm-3D_ngtdm_Busyness,0.0
log-sigma-3-0-mm-3D_glszm_ZoneEntropy,0.0
log-sigma-3-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,0.0
log-sigma-3-0-mm-3D_glszm_SizeZoneNonUniformity,0.0
log-sigma-3-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,0.0
log-sigma-3-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.0
log-sigma-3-0-mm-3D_glrlm_ShortRunHighGrayLevelEmphasis,0.0
log-sigma-3-0-mm-3D_glrlm_RunEntropy,0.0
log-sigma-3-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,0.0
log-sigma-3-0-mm-3D_gldm_DependenceVariance,0.0
log-sigma-3-0-mm-3D_glcm_Imc2,0.0
log-sigma-3-0-mm-3D_glcm_ClusterShade,0.0
day_of_study,0.0
