feature,mean_importance,std_importance,n_folds_selected
feat_247,0.0034417387912981214,0.00256165778694586,10
feat_28,0.0034405504527967425,0.003050305599489668,10
feat_96,0.0033703781431540848,0.002486404127838169,10
feat_64,0.003330849763005972,0.005627017824915995,10
feat_139,0.0032475771906320004,0.0029102148227698934,10
feat_140,0.003235898865386844,0.0040321626810981,10
feat_160,0.00314257824793458,0.0032349304843020564,10
feat_227,0.0031328628538176417,0.0028550434258539574,10
feat_204,0.0031320140697062016,0.0031794439214194482,10
feat_47,0.0031228533247485758,0.0027625169881423622,10
feat_25,0.0030568924121325836,0.0026946601963826053,10
feat_172,0.003052905690856278,0.0029352389518407444,10
feat_123,0.0030399471521377563,0.003131671530351839,10
feat_130,0.0029731160029768944,0.0040053010969680475,10
feat_62,0.0029715185810346156,0.0021002072954527926,10
feat_184,0.0029589274898171427,0.0025222646916778987,10
feat_91,0.0029514444759115577,0.0025836555336545912,10
feat_126,0.0029131966177374123,0.0036309960295625174,10
feat_56,0.0029033155646175147,0.002772953640584342,10
feat_111,0.0028851876850239933,0.0028369667540831616,10
feat_30,0.0028447531163692473,0.003926804273715834,10
feat_3,0.0028409559978172182,0.0033822200137907095,10
feat_235,0.002796141104772687,0.003588624621132785,10
feat_23,0.0027925972477532922,0.003377501387046307,10
feat_34,0.0027015606028726324,0.0015607667227810003,10
feat_222,0.0025975877651944757,0.002796707950083287,10
feat_190,0.0025809786340687422,0.002491775461800079,10
feat_61,0.002522244141437113,0.0024992410307418255,10
feat_132,0.0024619159288704396,0.0034874440754472514,10
feat_24,0.0024101601346046666,0.003979448057095167,10
feat_19,0.0023965009371750058,0.0025660005458503954,10
feat_37,0.0023316239164159923,0.002300799091428713,10
feat_118,0.0023068464011885225,0.0034386456869426488,10
feat_228,0.0022698081564158203,0.0020858341858482595,10
feat_233,0.002225745120085776,0.003135057625183183,10
feat_162,0.0021797143319417954,0.0027816575017455404,10
feat_79,0.002154963696375489,0.0033125197781091274,10
feat_66,0.002137874678010121,0.002495549973799835,10
feat_171,0.0020832323003560304,0.0032619152181416486,10
feat_135,0.0020814825518755244,0.0023946777480423585,10
feat_147,0.0020772189367562533,0.0030245811738715458,10
feat_99,0.0020668985787779095,0.004000800518863965,10
feat_92,0.0020326205172750632,0.0025327715464319184,10
feat_112,0.0019286417053081095,0.0031679701408008046,10
feat_137,0.0019231239682994782,0.001981003556195725,10
